Program,Gender,Age,Organization,Parents,Food_Lodging,Transport,Entertainment,CellCost,Sleep,SocialMedia,StudyHours,WorkHours,Traveled_Outside,Tuition,Coffee_Daily,Height (cm),Weight (kg),Prev_Monthly_Salary,Expected_Monthly_Salary,BMI
Babi,Male,29.0,. Large Corporation,Yes,1000.0,1000.0,500.0,50.0,7.0,5.0,10.0,40.0,Yes,Yes,3.0,180.0,65.0,4500.0,7000.0,20.061728395061728
Babi,Male,22.0,. Large Corporation,Yes,150.0,10.0,300.0,40.0,8.0,21.0,2.0,40.0,Yes,No,3.0,175.0,59.0,2600.0,3000.0,19.26530612244898
Babi,Female,27.0,. Non-profit or Government Agency,Yes,200.0,60.0,70.0,45.0,7.0,10.0,0.0,40.0,Yes,No,3.0,166.0,70.0,1600.0,2300.0,25.402816083611555
Babi,Male,29.0,. Non-profit or Government Agency,No,1800.0,40.0,100.0,72.0,7.0,5.0,12.0,50.0,Yes,No,3.0,171.0,64.0,1600.0,2000.0,21.887076365377382
Babi,Female,25.0,. Small Company,No,2000.0,0.0,100.0,50.0,8.0,5.0,0.0,40.0,Yes,No,4.0,165.0,60.0,5000.0,5500.0,22.03856749311295
Babi,Male,27.0,. Small Company,No,,0.0,1000.0,90.0,7.0,1.0,10.0,40.0,Yes,Yes,0.0,180.0,70.0,0.0,5000.0,21.604938271604937
Babi,Female,26.0,. Large Corporation,No,500.0,140.0,500.0,70.0,7.0,5.0,5.0,5.0,Yes,Yes,1.0,171.0,60.0,5000.0,6000.0,20.519134092541297
Babi,Male,28.0,. Small Company,No,1200.0,40.0,300.0,50.0,7.0,7.0,10.0,40.0,Yes,Yes,2.0,178.0,86.0,4000.0,5000.0,27.143037495265748
Babi,Male,32.0,. Small Company,No,775.0,,30.0,65.0,7.0,2.0,0.0,14.0,No,Yes,1.0,180.0,86.0,2800.0,5500.0,26.54320987654321
Babi,Male,24.0,. Small Company,No,1800.0,140.0,600.0,64.0,8.0,14.0,14.0,40.0,Yes,No,1.5,168.0,72.0,4400.0,6000.0,25.510204081632658
Babi,Female,26.0,. Small Company,No,1600.0,200.0,400.0,60.0,6.0,8.0,4.0,37.5,No,Yes,2.0,164.0,64.0,3300.0,4000.0,23.795359904818564
Babi,Female,27.0,. Large Corporation,No,2500.0,200.0,200.0,75.0,8.0,10.0,8.0,40.0,Yes,No,1.0,155.0,46.0,3038.0,5000.0,19.14672216441207
Babi,Female,24.0,. Large Corporation,Yes,2000.0,250.0,500.0,75.0,7.0,10.0,20.0,40.0,Yes,Yes,1.0,150.0,45.0,3000.0,4000.0,20.0
Babi,Female,30.0,. Non-profit or Government Agency,No,500.0,20.0,100.0,70.0,8.0,1.0,10.0,40.0,Yes,Yes,1.0,165.0,60.0,2000.0,4000.0,22.03856749311295
Babi,Male,25.0,. Large Corporation,Yes,200.0,0.0,30.0,90.0,7.0,10.0,12.0,20.0,No,No,1.0,183.0,101.0,3000.0,5000.0,30.15915673803338
Babi,Male,25.0,. Small Company,No,1850.0,80.0,60.0,60.0,7.0,8.0,7.0,32.0,Yes,No,2.0,181.0,70.0,3200.0,4000.0,21.36686914318855
